Commodity  code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
334,Computer and electronic products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.015,0,0.015,,2,2,1,1,1
335,"Electrical equipment, appliances, and components",carbon dioxide,"kg/2018 USD, purchaser price",0.197,0.034,0.232,,3,2,1,3,1
335,"Electrical equipment, appliances, and components",methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,1,1
335,"Electrical equipment, appliances, and components",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
335,"Electrical equipment, appliances, and components",other GHGs,"kg CO2e/2018 USD, purchaser price",0.011,0,0.011,,4,2,1,4,1
3361MV,"Motor vehicles, bodies and trailers, and parts",carbon dioxide,"kg/2018 USD, purchaser price",0.174,0.015,0.188,,3,2,1,3,1
3361MV,"Motor vehicles, bodies and trailers, and parts",methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,1,1
3361MV,"Motor vehicles, bodies and trailers, and parts",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
3361MV,"Motor vehicles, bodies and trailers, and parts",other GHGs,"kg CO2e/2018 USD, purchaser price",0.019,0,0.019,,4,2,1,4,1
3364OT,Other transportation equipment,carbon dioxide,"kg/2018 USD, purchaser price",0.084,0.006,0.09,,3,2,1,3,1
3364OT,Other transportation equipment,methane,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,1,1
3364OT,Other transportation equipment,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
3364OT,Other transportation equipment,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0,0.005,,3,2,1,3,1
337,Furniture and related products,carbon dioxide,"kg/2018 USD, purchaser price",0.159,0.087,0.246,,3,2,1,3,1
337,Furniture and related products,methane,"kg/2018 USD, purchaser price",0.001,0.001,0.001,,3,2,1,1,1
337,Furniture and related products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
337,Furniture and related products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.021,0,0.021,,4,2,1,5,1
339,Miscellaneous manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.158,0.069,0.227,,3,2,1,3,1
339,Miscellaneous manufacturing,methane,"kg/2018 USD, purchaser price",0.001,0.001,0.001,,3,2,1,1,1
339,Miscellaneous manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,2,1,3,1
339,Miscellaneous manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0,0.005,,4,2,1,4,1
42,Wholesale trade,carbon dioxide,"kg/2018 USD, purchaser price",0.113,0,0.113,,3,2,1,3,1
42,Wholesale trade,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
42,Wholesale trade,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
42,Wholesale trade,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003,,4,2,1,4,1
441,Motor vehicle and parts dealers,carbon dioxide,"kg/2018 USD, purchaser price",0.12,0,0.12,,3,2,1,3,1
441,Motor vehicle and parts dealers,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
441,Motor vehicle and parts dealers,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
441,Motor vehicle and parts dealers,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,4,1
445,Food and beverage stores,carbon dioxide,"kg/2018 USD, purchaser price",0.219,0,0.219,,2,2,1,3,1
445,Food and beverage stores,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
445,Food and beverage stores,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,4,1
445,Food and beverage stores,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,2,1,4,1
452,General merchandise stores,carbon dioxide,"kg/2018 USD, purchaser price",0.15,0,0.15,,2,2,1,3,1
452,General merchandise stores,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,2,1,1,1
452,General merchandise stores,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,3,1
452,General merchandise stores,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,4,1
481,Air transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.871,0,0.871,,4,2,1,1,1
481,Air transportation,methane,"kg/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,1,1
481,Air transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,4,1
481,Air transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,4,1
482,Rail transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.693,0,0.693,,4,2,1,4,1
482,Rail transportation,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,2,1,1,1
482,Rail transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,4,1
482,Rail transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,4,2,1,4,1
483,Water transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.635,0,0.635,,4,2,1,2,1
483,Water transportation,methane,"kg/2018 USD, purchaser price",0.002,0,0.002,,4,2,1,2,1
483,Water transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,2,1,4,1
483,Water transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.057,0,0.057,,4,2,1,5,1
484,Truck transportation,carbon dioxide,"kg/2018 USD, purchaser price",1.318,0,1.318,,4,2,1,4,1
